Date,Category,Symbol,Open,High,Low,Close,Volume
2024-03-02 09:00:00,Crypto,BTC/USDT,62300.0,62306.7,61950.0,62030.01,1247.33022
2024-03-02 10:00:00,Crypto,BTC/USDT,62030.01,62216.71,61949.03,62111.18,1153.46042
2024-03-02 11:00:00,Crypto,BTC/USDT,62111.18,62426.7,62025.0,62307.45,1465.47878
2024-03-02 12:00:00,Crypto,BTC/USDT,62307.45,62307.45,62035.95,62035.95,1147.71004
2024-03-02 13:00:00,Crypto,BTC/USDT,62035.95,62079.99,61752.3,62006.55,1415.65823
2024-03-02 14:00:00,Crypto,BTC/USDT,62006.55,62256.0,61930.0,61946.0,1059.53378
2024-03-02 15:00:00,Crypto,BTC/USDT,61946.0,62041.7,61790.98,62011.85,1223.45307
2024-03-02 16:00:00,Crypto,BTC/USDT,62011.85,62123.0,61779.61,61939.64,1101.8718
2024-03-02 17:00:00,Crypto,BTC/USDT,61939.63,61988.0,61641.1,61843.06,1462.58666
2024-03-02 10:00:00,Crypto,ETH/USDT,3442.47,3446.47,3428.73,3437.68,10271.5455
2024-03-02 11:00:00,Crypto,ETH/USDT,3437.67,3444.15,3428.44,3442.34,10109.6104
2024-03-02 12:00:00,Crypto,ETH/USDT,3442.33,3445.0,3427.56,3427.57,10073.9166
2024-03-02 13:00:00,Crypto,ETH/USDT,3427.56,3431.0,3390.01,3419.7,33936.0911
2024-03-02 14:00:00,Crypto,ETH/USDT,3419.69,3452.76,3414.71,3435.82,20029.1321
2024-03-02 15:00:00,Crypto,ETH/USDT,3435.83,3439.91,3422.85,3430.25,9921.408
2024-03-02 16:00:00,Crypto,ETH/USDT,3430.26,3435.68,3405.17,3417.5,12554.4078
2024-03-02 17:00:00,Crypto,ETH/USDT,3417.5,3422.78,3391.83,3403.0,16948.979
2024-03-02 10:00:00,Crypto,XRP/USDT,0.6211,0.6333,0.6191,0.6317,80537385.0
2024-03-02 11:00:00,Crypto,XRP/USDT,0.6317,0.6392,0.6285,0.6309,71422529.0
2024-03-02 12:00:00,Crypto,XRP/USDT,0.6309,0.6343,0.6262,0.6299,38879545.0
2024-03-02 13:00:00,Crypto,XRP/USDT,0.6298,0.6302,0.6196,0.6246,38762349.0
2024-03-02 14:00:00,Crypto,XRP/USDT,0.6245,0.6289,0.6236,0.6242,20134051.0
